epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,g,m
0,0.0,27.0,27,False,False,(((fyl*((((fc'*((-((((((((ρl/((((h-m))**(-1))-g)))**(0.5)))**(-1))+ρh)-ρl)))**(-1)))+g))**(0.5)))-h0)+h),"[add sub mul fyl sqrt add mul fc' inv neg sub add inv sqrt div ρl sub inv
 sub h m g ρh ρl g h0 h]",1.0,1.0
0,0.0,25.0,25,False,False,(exp(ρh)*((((((cos(ρh)*(fyl/(((l0/h/(sh/(sv*(ρh*h0)))))**(-1))))-fyv)+ρh))**(-1))+a)),"[mul exp ρh add inv add sub mul cos ρh div fyl inv div l0/h div sh mul sv
 mul ρh h0 fyv ρh a]",1.0,1.0
0,0.0,22.0,22,False,False,((((((((((b*((-(((fyl+fyh)*-((((a*(((sv*sv))**(0.5))))**(2))))))**(0.5))))**(-1)))**(0.5)))**(0.5)))**(-1))+fyv),"[add inv sqrt sqrt inv mul b sqrt neg mul add fyl fyh neg n2 mul a sqrt
 mul sv sv fyv]",1.0,1.0
0,0.0,24.0,24,False,False,(((((-((((((log(-(ρh))*sh)-sh)*(((ρh/((((-(ρv))**(2)))**(-1))))**(2))))**(-1))))**(-1))+g)-a)+m),"[add sub add inv neg inv mul sub mul log neg ρh sh sh n2 div ρh inv n2 neg
 ρv g a m]",1.0,1.0
0,0.0,22.0,22,False,False,(((exp(ρv)*-((m/(m*(((fyh/(-((((fyl*-((sh+g))))**(-1)))+sv)))**(2)))))))**(-1)),"[inv mul exp ρv neg div m mul m n2 div fyh add neg inv mul fyl neg add sh
 g sv]",1.0,1.0
0,0.0,24.0,24,False,False,((((fc'/-((fyv/(((sh/(((sh*(((((((((g*ρv))**(2)))**(-1)))**(2))-ρl)+g)))**(2))))**(2))))))**(2))+a),"[add n2 div fc' neg div fyv n2 div sh n2 mul sh add sub n2 inv n2 mul g ρv
 ρl g a]",1.0,1.0
0,0.0,22.0,22,False,False,(((m)**(-1))*(1.0/(-((((((h*(((ρl*(((((sv/(sh/a/h0)))**(0.5)))**(0.5))))**(2))))**(2)))**(-1)))+ρv))),"[mul inv m div 1.0 add neg inv n2 mul h n2 mul ρl sqrt sqrt div sv div sh
 a/h0 ρv]",1.0,1.0
0,0.0,23.0,23,False,False,(g/((fc'/-(((((((fyl/ρh)*(b/((g)**(0.5)))))**(2))-((((-(h0))**(0.5)))**(0.5)))+1.0)))-ρh)),"[div g sub div fc' neg add sub n2 mul div fyl ρh div b sqrt g sqrt sqrt
 neg h0 1.0 ρh]",1.0,1.0
0,0.0,26.0,26,False,False,(((((l0/h/((((sin(ρh)*(sv/((-((h0/-(((((ρv/sh))**(0.5))+l0/h)))))**(0.5))))-a/h0))**(-1))))**(2))+b)+ρh),"[add add n2 div l0/h inv sub mul sin ρh div sv sqrt neg div h0 neg add
 sqrt div ρv sh l0/h a/h0 b ρh]",1.0,1.0
0,0.0,22.0,22,False,False,(((((((a/h0*sh)/((-((ρl*((((-((((((a/h0/((((sh)**(2)))**(-1))))**(0.5)))**(0.5))))**(2)))**(2)))))**(-1))))**(0.5)))**(0.5))+l0/h),"[add sqrt sqrt div mul a/h0 sh inv neg mul ρl n2 n2 neg sqrt sqrt div a/h0
 inv n2 sh l0/h]",1.0,1.0
0,0.0,24.0,24,False,False,(-(((-(((-(((fyv/a/h0)*(((((((ρv/(((((ρl*h))**(-1)))**(0.5))))**(0.5)))**(0.5)))**(0.5))))-fyl)+l0/h)))**(2)))+sv),"[add neg n2 neg add sub neg mul div fyv a/h0 sqrt sqrt sqrt div ρv sqrt
 inv mul ρl h fyl l0/h sv]",1.0,1.0
0,0.0,25.0,25,False,False,(((((((((fyv)**(0.5))*sh))**(2))+(((fyh/(-((((ρv*-((l0+h0))))**(2)))-h0)))**(2)))+m)-sh)+a/h0),"[add sub add add n2 mul sqrt fyv sh n2 div fyh sub neg n2 mul ρv neg add
 l0 h0 h0 m sh a/h0]",1.0,1.0
0,0.0,26.0,26,False,False,(((b*((((((((((sv*((-((-((((-((fyl*m))-1.0))**(-1)))+1.0)))**(-1))))**(-1))+fyv)+fyh)-fyv))**(0.5)))**(-1))))**(0.5)),"[sqrt mul b inv sqrt sub add add inv mul sv inv neg add neg inv sub neg
 mul fyl m 1.0 1.0 fyv fyh fyv]",1.0,1.0
0,0.0,21.0,21,False,False,((sh/fyv)*-(((((sh-(m*(((a/h0*-((h*(l0/h/m)))))**(2))))*fyh))**(0.5)))),"[mul div sh fyv neg sqrt mul sub sh mul m n2 mul a/h0 neg mul h div l0/h m
 fyh]",1.0,1.0
0,0.0,24.0,24,False,False,((-(((((((m/(((((1.0/(-((fyv/(-((((a/h0/a/h0))**(0.5)))+b)))-fyl)))**(-1)))**(2))))**(0.5)))**(-1))-a)))**(-1)),"[inv neg sub inv sqrt div m n2 inv div 1.0 sub neg div fyv add neg sqrt
 div a/h0 a/h0 b fyl a]",1.0,1.0
0,0.0,23.0,23,False,False,(((exp(a/h0)/(((((((((((h*(ρl/(((((((((fyl)**(2)))**(-1)))**(0.5))-l0))**(0.5)))))**(0.5)))**(-1))-h)+fyh))**(-1)))**(0.5))))**(0.5)),"[sqrt div exp a/h0 sqrt inv add sub inv sqrt mul h div ρl sqrt sub sqrt
 inv n2 fyl l0 h fyh]",1.0,1.0
0,0.0,21.0,21,False,False,(((sin(ρv)*-(((h0*(((sv/(((-(((((-(((sv)**(-1))))**(0.5)))**(-1))))**(2))+fyl)))**(-1)))-l0/h))))**(-1)),"[inv mul sin ρv neg sub mul h0 inv div sv add n2 neg inv sqrt neg inv sv
 fyl l0/h]",1.0,1.0
0,0.0,24.0,24,False,False,(1.0*(ρv*(((((((-((((ρh*(ρh/(ρl*(ρv/-(l0/h))))))**(-1)))-m))**(0.5))+sv))**(0.5))+1.0))),"[mul 1.0 mul ρv add sqrt add sqrt sub neg inv mul ρh div ρh mul ρl div ρv
 neg l0/h m sv 1.0]",1.0,1.0
